剩余序号,来源,序号/名称,标题/名称,提取名,处理结果,原因,后续动作,小红书搜索关键词,原帖链接,作者昵称/用户名,作者小红书号,作者主页链接,证据摘录,本地搜索页
1,微信餐厅,念家湘湘菜馆,念家湘湘菜馆,念家湘湘菜馆,小红书搜索待读帖,本地搜索页含同名/近似文本：念家湘、湘菜馆,读取相关帖子确认地址/定位,念家湘湘菜馆 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,念家湘湘菜馆 塔什干 - 小红书搜索 | 念家湘🇺🇿｜我真是脑子有泡才会去这么一家 2 | 塔什干《念家湘湘菜馆》+998772622888 5 | 塔什干中餐排名第一！【我心中的排名哈哈】 11 | 念家湘湘菜馆菜单 | 念家湘湘菜馆人均消费 | 连湘阁湘菜测评 | 湘天阁湘菜馆 | 巴蜀印象🇺🇿｜中餐厅里的top1（我封的😁） 16 | 🇺🇿塔什干湘菜馆 —— 忆湖湘 18,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/01_念家湘湘菜馆.md
2,微信餐厅,中乌饭店,中乌饭店,中乌饭店,小红书搜索待读帖,搜索页含“中乌饭店”相关文本，需读取相关帖子确认地址/定位,读取相关小红书帖子确认地址/定位,中乌饭店 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,中乌饭店 塔什干 - 小红书搜索 | 中乌饭店🇺🇿 2 | 塔什干中餐厅丨中乌饭店 5 | 塔什干新食堂+1 8 | 塔什干的中国饭店，酒店 11 | 塔什干宾馆中乌饭店桑拿 12 | 塔什干新开的沙县小吃 14 | 塔什干中餐 17 | 塔什干必去的两家中餐馆！！ 20 | 🇺🇿塔什干美食节🥘 23 | 中乌饭店菜单 | 中乌饭店价格表 | 塔什干中乌友谊城中餐 | 塔什干中国西贝餐厅 | 巴蜀印象🇺🇿｜中餐厅里的top1（我封的😁） 28 | 成都饭店 36 | 🇺🇿乌兹别克斯坦 | 美食推荐 39 | 🇺🇿塔什干湘菜馆 —— 忆湖湘 42 | 中乌饭店价格 | 塔什干中乌友谊城 | 塔什干长安美食城 | 塔什干中餐馆 | 塔什干中餐厅丨米其林酒店 57 | 在乌兹别克斯坦的中国胃~ 59 | 塔什干的中餐家常top1 DIYAR UYGHUR FOOD 64 | 乌兹别克斯坦塔什干探店之—捞福记 67 | 乌兹别克斯坦🇺🇿中餐厅推荐 70 | 塔什干中国餐厅推荐 | 川味轩塔什干 | 塔什干本地菜,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_slow_retry_pages/02_中乌饭店_retry2.md
3,微信餐厅,成都饭店,成都饭店,成都饭店,小红书搜索待读帖,其他本地已保存搜索页含同名/近似文本：成都饭店、成都饭店主理人-塔什干,读取相关小红书帖子确认地址/定位,成都饭店 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,中乌饭店 塔什干 - 小红书搜索 | 成都饭店 36 | 每天都想炒老板 37 | 2025-12-27 37；东方红餐厅 塔什干 - 小红书搜索 | 成都饭店 20 | 成都饭店主理人-塔什干 22,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_slow_retry_pages/02_中乌饭店_retry2.md; /Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/batch4_xhs_search_pages/10_东方红餐厅.md
4,微信餐厅,川湘食府,川湘食府,川湘食府,小红书搜索待读帖,其他本地已保存搜索页含同名/近似文本：川湘食府、塔什干川湘食府,读取相关小红书帖子确认地址/定位,川湘食府 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,塔什干遇湘食府 - 小红书搜索 | 塔什干川湘食府 | 川湘食府🇺🇿｜一家上菜极快的川菜馆 78 | 噗💨🤓 24 | 2024-10-01 24,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/batch3_xhs_search_pages/09_塔什干遇湘食府.md
5,微信餐厅,长安巷·融合菜,长安巷·融合菜,长安巷·融合菜,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,长安巷·融合菜 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/05_长安巷_融合菜.md
6,微信餐厅,成都蜀味汤火锅,成都蜀味汤火锅,成都蜀味汤火锅,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,成都蜀味汤火锅 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/06_成都蜀味汤火锅.md
7,微信餐厅,西南川菜馆,西南川菜馆,西南川菜馆,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,西南川菜馆 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/07_西南川菜馆.md
8,微信餐厅,VINO GALAXY 酒水管家,VINO GALAXY 酒水管家,VINO GALAXY 酒水管家,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,VINO GALAXY 酒水管家 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,https://www.xiaohongshu.com/website-login/captcha?redirectPath=https%3A%2F%2Fwww.xiaohongshu.com%2Fsearch_result%2F%3Fkeyword%3DVINO%20GALAXY%20%E9%85%92%E6%B0%B4%E7%AE%A1%E5%AE%B6%20%E5%A1%94%E4%BB%80%E5%B9%B2%26exSource%3D&verifyUuid=6b29cd88-b5ce-44b4-80e8-77225770a0b7&verifyType=124&verifyBiz=461&verifyMsg=null,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/08_VINO_GALAXY_酒水管家.md
9,微信餐厅,包子客牛肉汤包,包子客牛肉汤包,包子客牛肉汤包,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,包子客牛肉汤包 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/09_包子客牛肉汤包.md
10,微信餐厅,川渝私房菜（东方明珠酒店）,川渝私房菜（东方明珠酒店）,川渝私房菜（东方明珠酒店）,小红书搜索待读帖,其他本地已保存搜索页含近似文本：川渝私房菜；未确认是否对应东方明珠酒店,读取相关小红书帖子确认地址/定位，并核对是否为东方明珠酒店内餐厅,川渝私房菜（东方明珠酒店） 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,渝味山庄江湖菜 塔什干 - 小红书搜索 | 塔什干川渝私房菜 | 塔什干探店之川渝私房菜 25 | 信女愿天下有心人终能下签 26 | 2025-07-09 26,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/batch4_xhs_search_pages/04_渝味山庄江湖菜.md
11,微信餐厅,土窑烧烤,土窑烧烤,土窑烧烤,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,土窑烧烤 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/11_土窑烧烤.md
12,微信餐厅,万记川湘菜,万记川湘菜,万记川湘菜,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,万记川湘菜 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/12_万记川湘菜.md
13,微信餐厅,阿尔马雷克市好运中餐厅,阿尔马雷克市好运中餐厅,阿尔马雷克市好运中餐厅,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,阿尔马雷克市好运中餐厅 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/13_阿尔马雷克市好运中餐厅.md
14,微信餐厅,长安大饭店,长安大饭店,长安大饭店,未读取,本地没有保存页面，等待安全验证恢复后再慢速读取,安全验证恢复后慢速读取,长安大饭店 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,
15,微信餐厅,撒马尔罕新疆风味餐厅,撒马尔罕新疆风味餐厅,撒马尔罕新疆风味餐厅,未读取,本地没有保存页面，等待安全验证恢复后再慢速读取,安全验证恢复后慢速读取,撒马尔罕新疆风味餐厅 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,
16,微信餐厅,安集延国际酒店中餐厅（川湘菜）,安集延国际酒店中餐厅（川湘菜）,安集延国际酒店中餐厅（川湘菜）,未读取,本地没有保存页面，等待安全验证恢复后再慢速读取,安全验证恢复后慢速读取,安集延国际酒店中餐厅（川湘菜） 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,
